pol,text
neutral,March 18th until Uncharted 4. Guess the Nathan Drake collection will tide me over on PS4 until then.	
neutral,Kanye West may claim he's a Democrat but the majority of his lyrics decidedly lean Republican.	
negative,13 fucking mins I've just sat and watch Kanye west exception speech from the vma's. it made no sense what so ever	
neutral,@AKustosz that's joke because you didn't know who he was before me and erik told you you sat in your room wanking over nirvana.	
positive,Uncharted 4 on March 18th!  Come on PS4 keep up the quality exclusives!	
neutral,Exploring Milan under the blazing sun. I already have the feeling I won't be able to see much. So busy! Tomorrow Expo http://t.co/A7NhblaAYc	
negative,Is the RNC afraid of Carly Fiorina? Call the RNC at 202-863-8500. She's earned 1st debate stage. http://t.co/l7DkMTetbe	
positive,New Mgla and Iron Maiden are going to be fighting HARD for my time on Friday	
neutral,Milan is pessimistic they'll reach an agreement with Zenit for Witsel they may make an attempt before window closes in 3 hours (DiMarzio)	
neutral,The signals for Axel Witsel to Milan are negative at the moment but they may make one last attempt before the window closes. (via @DiMarzio)	
negative,I feel bad for Camila after all..1st Ausmila for publicity (cus I don't believe that shit was real) now with Shawn.. Let the girl be in love	
neutral,Since Trump announced his presidential bid in June pundits have contended he would not be the nominee.  Ben Carson &amp; Carly Fiorina climbing	
neutral,Power's out for 47 hrs and: #kanye2020  twenty one pilots perform Nicki drags Miley probably the sun exploded too let me check	
positive,Kanye West is a god you may never speak ill of Kanye.	
positive,@aalsi_aadmi @Sab_mile_Hue you must also do some learning in Islam and you may get content to your reason and logic.	
negative,Sharknado is definitely the best of the worst. Come see the spectacle this Thursday at 6 &amp;9pm in the RH Theatre! http://t.co/lfOjKxaM9q	
neutral,Season in the sun - Nirvana	
negative,@BeavaZapata u can imagine what may happen if they allow the enemies to enter Madinah. Plus they broke the covenant they had with Muslims	
negative,Carly Fiorina is 3rd in Iowa with 10% of the vote behind Trump and Carson 23% yet @CNN is not going to allow her to debate. #WarOnWomen	
negative,What's the requirement to work at Dunkin? Complete up to 8th grade? Reasons I hate going there. No people skills.	
positive,I've been listening to U2's music all day. Looking forward to the show on Friday.	
neutral,#Indians just never got chance for a #Rays style rebuild where they could take a Longria 3rd or a David Price 1st overall.	
positive,@rossR5 i saw you and the guys last year on February 23 in Milan that was the best day ever I'm not kidding and I'll see you on September 20	
neutral,MTV VMAs: Seven presidential moments in Kanye West's first stump speech: When Kanye West stood on stage Sunday night during the MTV V...	
neutral,Galliani to GdS on not having a sporting director: I don't see the problem. This is my 30th year at Milan and I have a lot of relations --&gt;	
neutral,Anyone want to buy some Zac Brown Band tickets for Sept 3?	
negative,@Nicki_F @ThalesLives @scottedelman You may disagree Nicki but the facts just don't support you. Nor does the vote by all of fandom.	
positive,@axelwitsel28 Maybe january you go to milan...See you!!	
neutral,@JMV1070 didn't have a chance to listen Friday thoughts on the Foo Fighters concert?	
positive,Buzzing my tits off for the Foo Fighters on Sunday the finger will be thrown around	
positive,Everyone in my feminist studies class was team Nicki AND the Mitski tinydesk was released today WHAT A MONDAY !!!!	
positive,Kanye West was honored with the Video Vanguard Award on Sunday night and a surprising star presented the rapper with the award -- Taylor	
neutral,1st time I'm following a GOP presidential primary closely. Doing it now because of WI's infamous governor and probable felon Scott Walker.	
neutral,I like to avoid my Monday's like Miley avoided Nicki at the VMAs	
negative,@SpursOfficial @rapharris_ tomorrow better be a busy day or expect Kane to be fucked half way through.	
positive,Not even Sept 1st and we've already relapsed into Dunkin' Donuts 'Pumpkin EVERYTHING' commercials on the radio! ITS FALL BABAAYYY	
neutral,@TripleH  I think it has to do with fan attacking Dean Ambrose Saturday night	
neutral,@Libertea2012 The sign is in French - Scott Walker may not understand what it means.	
negative,Is Kanye West really going to run for president? I'm afraid #idiocracy may become a reality sooner than we'd hoped... http://t.co/HM0FDtoHhG	
positive,@NiallOfficial @Harry_Styles @Louis_Tomlinson call me on stage for act my age to Irish dance with Niall tomorrow night at #OTRAPhilly	
neutral,My mom just came to my room with the exciting news that Kanye West is running for president. C'mon mom don't you think I know that idiot	
negative,@CarlyFiorina CNN has a definite bias they aren't reporting Carly Fiorina moving into 3rd place in IOWA on CNNPOLITICS something going on?	
neutral, @SkyNews: Kanye West: 'I've decided to run for president - based on the history in that family he may be US's 1st black Female President!
	
neutral,Kanye West will perform the entire 808s &amp; Heartbreak Album on September 25th at the Hollywood Bowl in Los Angeles. http://t.co/idCQRE6G7y	
negative,@spaghetty_ I've been sat on the floor for 4 hours trying to download songs onto my phone and iPad ... It will take years to delete U2	
neutral,Hi Niall Can you wish me good luck because tomorrow I have to do an operation to my foot and I'm really scared! X5	
neutral,Following Monday's On Sale Paul McCartney Tickets Averaging Over $400 On Secondary Market: Monday was just an... http://t.co/nSfioCwq6v	
neutral,Welp going to need a PS4 by March. https://t.co/77qUiNsrBb	
neutral,Would anyone wanna go to the Ed Sheeran concert this Thursday with me I have an extra ticket it was like $35	
positive,If anyone fancies a good giggle head to a Gay bar on a Bank Holiday Monday to listen to the Hartleys sing karaoke. My jaw hurts.	
neutral,@amitkriit may be what u want to ask me is what is the punishment for blasphemy in Pakistan?That has nothing to do with the prophet's Islam	
neutral,@nikestore  are you going to carry the gucci foamposite that release friday?	
neutral,Yo Nate Shawn and Wanya. How about when you come to Namibia in October. Can we get same tees printed Namibia? https://t.co/I8OCefquxN	
neutral,Lol. You can still watch Nicki asked Miley what's good and called her a bitch (most interesting part of the show) https://t.co/tCIdK88LtI	
positive,$1 monday's at dunkin is the best way to start off the week :-)	
negative,Sooo just seen somewhere that Kanye west wants to run for president I sincerely hope that's just an extremely late April fools....	
neutral,kailey just got me into the Ed Sheeran concert on Thursday and im nelenieshuewjshs	
neutral,You may not like the guy but you have that 1 Kanye West track that makes you go. . Yerrrrrrtt	
negative,i want mildew clitoris off my tl i dont want her anywhere near nicki i dont want to see her rat ass ever again launch her into the sun	
positive,We may be an ordinary girls But our love to our Zayn is bigger thank you thinkHe saved most of us and we're thankful to him to have him.	
neutral,Let's review Milan's summer: got stadium deal now balking at the site 150m to spend spent 91m floated Mr Bee he may as well be the chef	
positive,One of many things that Islam has taught me is to look upon charity as something that we all must do every day that the sun rises. Powerful.	
neutral,Hi my name iSSk Nicki and itsSSKS tHFfe firSSKT day of sShckhool - me in my new retainer tomorrow	
negative,Kanye West to run for President? Making Kim the First 1st Lady with a sex tape.	
neutral,I may or may not be in love with Kanye west	
neutral,David Price looks to become the 13th pitcher in #BlueJays history to go 5-0 in a calendar month.	
neutral,Rogan just cried infront of Rousey? c'mon Joe	
neutral,Sam last night: Shawn tomorrow morning we should wake up at like 9 and make breakfast ... it's 1:34 and he hasn't gotten out of bed yet	
negative,Sisi is a tyrant trying to suppress any possible Islamic uprising. May Allah grant the Muslims victory over this dog. http://t.co/iGEvDshIL4	
negative,Kanye west cracks me up I just sat here and listened to his 20 minute speech and I still don't understand #Kanye2020	
neutral,@planetjedward on saturday at 10pm you can watch Sharknado 3 on the german free TV channel Tele 5	
neutral,Did you know that 'Kanye West' was Trending Topic on Monday 31 for 8 hours in Abu Dhabi? http://t.co/qERkPJklGU #trndnl	
positive,#ThankYouEdSheeranFor all the great songs you've written and that amazing concert in Milan on January 27	
positive,@doggystyIecalum because my old account got suspended and than May 5th came around and Zayn followed me. Now I have 4.2K so thank you	
neutral,@aniaahlborn @seanchercover Scott Walker's having a meet'n'greet 2 blocks from me Wed morning. SO tempted to go &amp; soak up the absurdity.	
positive,All I can think about is Jason Aldean Thursday night	
positive,The Americans may not have won the opening night game but they are totally running the Big Brother show. #CBBUK	
positive,Been enjoying playing Command and Conquer for it's 20th birthday.  Love the Commando Love the Rockin' music and Kane what's not to love!	
negative,This is the usual liberal reflex of blame Republicans for everything. Like Muslims many liberals parrot what told. https://t.co/D02Hm7mijm	
positive,Here I come PS4 I'll see you in March 18th !! https://t.co/VOuw5c9k0k	
neutral,Video: Kanye West Helps 2015 VMAs Break U.S. Twitter Record:Sunday night's MTV Video Music Awards were the-- http://t.co/hH4Mi7jooG #video	
neutral,Whos going to shawn concert on October 16 in columbia sc bc we should totes meet	
positive,Sam Smith in the 'Omen' music video may have turned me gay for a few moments	
positive,Holy shit I just realized my Ed Sheeran concert is a week from tomorrow oh my god !!??!?!	
neutral,I may not speak too highly of Kanye West the person but I am a fan of his music. It is possible to separate actions and work.	
neutral,@Awilder112 Game comes out on December 1st. I will definitely be picking it up for PS4.	
neutral,If Bee comes in with cash in OctI'd imagine Milan are gonna splurge in the winter&amp;definitely next summerlet's hope they are smart about it	
neutral,karimozena: Presidential Hopeful Kanye West Is Performing at the HollywoodBowl on September 25 https://t.co/MIMOHrFrkc	
neutral,@drunkenlxvato @lifelovelovatic ticibhfi the Katy Perry fan is talking may I take a message?	
neutral,But hey i guess you could say at least we (Milan) spent money. 3rd place will be one hell of a mission but Milan did it to themselves	
neutral,#Cubs Kris Bryant is starting in right field for the Cubs on Monday.  http://t.co/Q1qiobeqlu	
positive,Carly Fiorina's rise in polls may mean inclusion in the next GOP debate http://t.co/Y3ALgCx1Mq http://t.co/I7QdXLjocd	
negative,Deadpool game coming to PS4 and Xbox One in Nov! WTF? Probably has zero work done to it just like Activision's last 'Remaster' Prototype.	
neutral,I honestly think Napoli will take 4th then it's just a free for all between the likes of MilanFiorentinaTorinosampGenoathe Veronas	
neutral,The whole band and Niall are on the struggle bus today.. just get it together for the show tomorrow! @NiallOfficial @JoshDevineDrums	
neutral,20th bday on Thurs no class/ XC season opener on Fri Ed Sheeran concert on Sat parents visit on Sun &amp; day off on Mon! #labordayweekend	
positive,Niall's going to be 22 in 12 days NO ONE'S GONNA BE 22 I'LL LOCK HIM IN FOREVER21!1! *prepares squad* C'mon!	
neutral,It's august 31st. Pumpkin flavor is back at dunkin. And I have already had it. #prematurebutitsok	
neutral,Also may take years to figure out if the song reaching #1 or John Cena co-opting I Can't Feel My Face as his signature tagline is stranger	
neutral,Gucci baggy skin below the eyes subliminal level head may toga virilis the duplicated yours proper herein cong...	
neutral,Selling my Jason Aldean Cole Swindell and Tyler Farr ticket for their show in Raleigh on Saturday. DM me if you're interested.	
positive,Thanks very much Shawn! I hope you're having a great Monday! https://t.co/FYhZT554UJ	
neutral,Haven't we had enough with #DonaldTrump running for president?Now Kanye West?! #KanyeWestForPresident2020  https://t.co/LfVkU9FcSb	
neutral,@TMZ Miley may act and be the way she is but she is a good person. Nicki is the one looking for fights anywhere. Embarrassing...	
neutral,@Atheist4M that practice is from the african athiests and sun worshippers. Not from Islam.	
neutral,Hulk Hogan may have been kicked out of WWE......but what about that masked man Mr. America???? @VinceMcMahon http://t.co/onS4MsEfj6	
neutral,@USCellular Picked up the new Moto G (2015 3rd Gen) at my local US Cellular store this weekend.	
neutral,I'm at work for 14.5 hours tomorrow lmao someone make me go to bed and stop reading articles about nicki	
neutral,Kanye West confuses me  this kind of made no sense LMFAO but I must say it had me cracking up https://t.co/i34elLEIua	
neutral,New Post: Kanye West's 'Late Registration' Infographic of Samples On the Album's 10th Anniversary... http://t.co/N5uFjhZsLE	
positive,Banging out this Cardio/Back today then turning on the strum for some more The Last Of Us on PS4! Mad Max tomorrow! http://t.co/XdzaWxdo3E	
neutral,that time they were all wasted at the brits and louis sat in zayn's lms if u agree https://t.co/ikvZEkT3I9	
positive,So excited! Will have to buy a PS4 just for this game https://t.co/0NfYuT434f	
neutral,I didn't evacuate when Janet Jackson's nipple exposed the power of the sun to an unsuspecting audience I ain't budgin now.	
neutral,@Temp15544 RKBA was specifically mentioned Gay marriage may (or not) be under the banner of a different right But RKBA was specific	
neutral,Niall is going through mood swings right now so hopefully he's all good by tomorrow night	
neutral,My dads seeing Paul McCartney for like the 6th time and yet he still asks me why I need to keep seeing Taylor swift???	
positive,Floyd Mayweather fight September 12! Come on down for the excitement &amp; grab your seat early !! #MayweatherBerto	
positive,prince george this sweet magic is coming to you so soon... don't forget sept 1st is the last day to save $500 on... http://t.co/dlvBC6EsUp	
neutral,@ACMilanSydney Milan in my opinion have only the 7th best squad after Inter Roma Juventus Lazio Napoli and Fiorentina.	
negative,If you even remotely support anything Kanye West says I will say a prayer on Sunday for you and your ignorance	
negative,Milan's is shit men.....even with dough.....totally lost d plot... https://t.co/lPVCg9iNcZ	
positive,New IA poll has Ben Carson and Donald Trump tied... with Carly Fiorina in 3rd. Should be an interesting next few months...	
positive,A few days ago @Quuuise said Ice cube may be the bet rapper lyrically I'm starting to agree	
positive,Fort Wayne had 3rd Interfaith Prayers 4 the City. Hindu dancing Miami Nation drums and chanting Muslims Jews Christians all 2gether as 1	
positive,@JohnKennyMedia Sunday is the best Sam Smith on before Blur!  WTF as they say these days	
positive,I may never tweet about anything other than Kanye West ever again	
neutral,Ohio Gov. John Kasich up to 7th-place tie in new Iowa Poll; Ben Carson deadlocked with Donald Trump at the top http://t.co/0ltzGlSYk9	
neutral,@rocketrichman bizarre... Kane breaks a leg in training with England tomorrow then what?	
neutral,@GuillemBalague Real Madrid and Man U have different rules im sure he will be a madrid player tomorrow	
neutral,David De Gea presentation was billed for 1pm tomorrow..if Real Madrid doesn't announce the deal before noon..then the deal is off. Shikena!!	
positive,@Naughty_Dog Guess I'm finally going to buy a PS4 on March 18th! :D #Uncharted	
neutral,De Gea will still be a Real Madrid player tomorrow. It's Real Madrid they bend the rules. The Spanish FA will bend over for them.	
neutral,Imagine being De Gea going to sleep then waking up tomorrow ready to become a Real Madrid player	
neutral,Feel for navas also basically being told your not needed by Real Madrid and then he may have to stay there	
positive,@LjsTheMotto but then again. Real Madrid rule Spanish football. So they may still push it through even after the their window closes.	
neutral,Uefa can overall the Spanish Fa's decision to cancel De Gea's move and he could still be a Real Madrid player tomorrow. Help me God.	
negative,Its not about the money and player. Its about Moral &amp; club. We fucked up Real Madrid &amp; that's enough. De Gea can join tomorrow. Don't care.	
positive,Gay night tomorrow the best night everrrrrrr	
negative,- incredibly stupid move by United though. Woodward may have got 1 over Real Madrid but now he's left with an unhappy player	
neutral,JUST IN; Real Madrid stating to have proof that Manchester United sent documents at 23.59. Uefa tomorrow to decide on it	
neutral,Both clubs have proof that the De Gea papers arrived in time. UEFA will decide tomorrow morning if De Gea will be a Real Madrid player.	
neutral,Boko Haram May Resume Talks With FG - SOURCES close to the leadership of the Boko Haram insurgents have... http://t.co/AIhtumszlI #News	
neutral,By the invested by Real Madrid. I announce David De Gea will be paraded at 1pm Spanish local time tomorrow. Ameen.	
neutral,You know Gaga was cackling as she made her 6th sacrificial offering of the day while Nicki called out Miley last night	
neutral,Real Madrid still faithful that the deal will be accepted. But it will have to be tomorrow.	
neutral,I wonder if De Gea was sat in his car in the Real Madrid car park waiting for a transfer Odemwingie style	
neutral,Only can it be known tomorrow if DDG's transfer to Real Madrid went through.... Get some rest. More drama to come.	
neutral,Real Madrid's attempt to make a last minute super signing with De Gea may have been a little too last minute #DeadlineDay	
neutral,I need someone to come see Ed Sheeran with me this Saturday in Dallas	
positive,I believe in Islam like I believe in the sun rising. Not because I can see it but because by it I see everything. Alhamdulillah	
neutral,@MUFC_1000_liam I'm hearing Real Madrid may have the option to block it	
neutral,i'm gonna do this with zayn's face https://t.co/XQ53qzquJS	
negative,Kanye west and piers Morgan have the same weed dealer... https://t.co/HMQAXrktt2	
neutral,@Mike_Laidlaw is there any word on patch &amp; DLC file sizes for PS4? Have 10GB left of data allowance til the 12th (rural internet boo).	
neutral,Because it's Real Madrid bet it happens  https://t.co/yHT2LciYvG	
neutral,BREAKING: Real Madrid state proof of the documents being sent at 23:59. UEFA to decide tomorrow. (@tancredipalmeri ) #DeadlineDay #MUFC	
neutral,Moyes sat somewhere spamming the real Madrid fax machine with stationery and car hire deals chuckling away #degea	
neutral,This Black Gay Badass Pacifist Mastermind of the March on Washington Is Finally Getting His Due http://t.co/7acnoAoKXv via @motherjones	
neutral,@q23a1 @sidlowe whatever platform a bit of fun but we all know he will be a Real Madrid player tomorrow.	
positive,@OffsideLiam I'm fucking loving this I hope this drags on all day tomorrow but he will join Real Madrid	
neutral,If Real Madrid's appeal to Uefa and LFP for the De Gea transfer is successful he'll join them tomorrow. Yikes.	
neutral,Plot twist: Real Madrid didn't accept the papers just so they can get him in January under bossman ruling for free ready for next season	
positive,Nicki's drag at the VMA's blessed my Monday	
negative,I have officially lost any microscopic shred of respect I may have had for Kanye West. He is the epitome of ignorance.	
neutral,Gucci bags oneself privileged communication june enlarge upon the brace thine soul entranceway mere chance in ...	
neutral,Real Madrid will sign De Gea tomorrow with help of FIFA!	
neutral,I went by my moms in Atlanta for my 26th and she just knew we was going to a gay club asking ha friends we said hell no we like str8 clubs	
neutral,Both Real Madrid and Manchester United will push for the deal to go through tomorrow but personally I don't think the transfer will happen.	
neutral,the lighting is tragic but here are some pics of shawn with fans at the Energy 103.7 event in San Diego on Saturday http://t.co/dcZOMyIcFd	
neutral,FIFA will look into the case tomorrow. Both Man United and Real Madrid are pushing for the move to happen.	
neutral,Ed Woodward may have fucked Real Madrid over by sending the wrong file format what a fucking man he is. Legend.	
neutral,Literally sat through 3rd block today and talked about Kanye West w/ @BryceBayliss	
positive,@Jazmin_Azar1 RT: @Niaz_kilam22 @ZaynBritishLad_ Happy 22nd Birthday Zayn! I love you and I hope you have a... http://t.co/9GVWJBFE62	
negative,if it turns out tomorrow that ddg is actually a real madrid player i'm deleting myself off the internet	
neutral,Man Utd: David De Gea's move to Real Madrid off as paperwork late - http://t.co/GFmutjaXpM thought the deadline was 6pm Tuesday?	
neutral,I just checked for cheap Ed Sheeran tickets for next Wednesday in Miami. I could usually find something for less than 80 bucks. -	
neutral,Looking at my Gucci it's about that time. Bldg 406 2nd floor. #giaf15 @govislandart #art #charcoal #drawing #gucci http://t.co/gS7TAxXdN4	
positive,@jamiestar1986 Monday night raw should be good tonight I wonder will sting show up or if Brock Lesnar will be there	
positive,I'm sure Real Madrid will 'somehow' sign De Gea tomorrow but tonight's been entertaining all the same  https://t.co/CWMv4caQnp	
neutral,2nd one is a trinidadian headdress i believe which is nicki's home country. im silent on the other 3 tho https://t.co/0udsnLtBeC	
neutral,I need a big moment!  Something like a clutch moment! A Kobe in the 4th quarter!  A Ronda Rowdy Rousey 14 second knockout!	
neutral,My sources in Ethiopia tell me that De Gea is a Real Madrid player. The deal was completed and the player will be presented tomorrow	
neutral,Salazar struck out the side in the 1st and David Price answers back with the same in the 2nd. Tulo-Colabello-Martin due up for #bluejays.	
positive,Every day I thank god that Nicki recycled I Love You n put it on Pink Friday as Your Love	
neutral,All this is just banter. Wait and see when Real Madrid announce the transfer at noon tomorrow.	
neutral,@BretBaier Not for nothing Bret..but Carly Fiorina gets absolutely no press. I mean she is actually 3rd in Iowa!!!	
neutral,David Wright has now played more games at third base than any other player in the history of MLB in New York. https://t.co/z6dVkcTfrb	
neutral,Nicki went from I want to thank my Pastor to cursing at Miley. That may beat what Kanye did to Taylor Swift.	
neutral,@SamWallaceIndy it's Real Madrid  the transfer will go through tomorrow 	
neutral,@Muralectra Real Madrid are trying to buy a player from united. the documents got delayed and the deadline to sign new players is tomorrow.	
negative,There's a lot of stupid $h!t out there but polling Trump v Kanye West may take the cake. All I can think to say is: #$%#$%$#%#$%#$%#$#$#$%	
positive,According to gamestop  Deadpool is coming to ps4 and X1. I know some may not like the idea but I think it'll be better with better visuals	
positive,@kiimmynicole I'm going to see the Foo Fighters on the 21st so if I see these as well this would be the best year of concerts for me!!	
positive,Ever have a song that just hits the right spot for you? These Days by The Foo Fighters was it for me. Side note: mom gets diagnosis tomorrow	
neutral,@JackkFletchh oh no haha I meant he can't sign for Milan now so Spurs may have more of a chance	
neutral,Sky Sports | Both Manchester United and Real Madrid want the DDG transfer to happen and are considering an appeal to make it happen tomorrow	
positive,@superspurs34 @Sgt_shred1 Deadpool the game coming to PS4 and Xbox One in november Awesome :)	
positive,Free iced coffee Monday at Dunkin and pumpkin spice is back... This basic girl is so excited that I just got a coffee at 8pm	
neutral,Is it me or WWE Monday Night Raw always starts with Seth Rollins?	
neutral,Ice Cube announced a family friendly Friday sequel called Is it Friday yet	
neutral,Come try #ringette for FREE Sat Sept 12 11-12 @ the Prince George Coliseum. Info at http://t.co/BRS71sTSna.	
neutral,Watching the new Fear the Walking Dead episode then Faking It at 9:30. Then I shall stress about Big Brother till Wednesday #iwatchtoomuchtv	
positive,Fair warning to my 'non U2 followers' I will be tweeting and RT'ing heavily #U2Request between now and the end of Sep 1st. Mute if you want.	
positive,@jasdiane I am excited but at the same time Iron Maiden have an album out Friday and that's really taking priority XD	
neutral,Seth Rollins is going to be at the house show in Beaumont. So i think he may win. I really doubt the WWE WHC will be at a house show #RAW	
neutral,Naruto may have been the first ever Hokage to never achieve the status of Chunin and Jounin now that I think about it.....	
neutral,I'm looking in the back of the posters. They're making a 3rd 12 Rounds with Dean Ambrose? GTFO!!! #RAW	
positive,Maja is Nicki to April's Miley right now. April is inspecting a candle and Maja has the EYE on her. #whatsgood	
negative,Kanye West for president? Don't laugh he may be the only one with a low info voter fan base who is narcissist enough to succeed The Donald	
positive,C'mon @WWE let's make it a Seth Rollins statue on a pole match at Night of Champions. #StingVsRollins	
neutral,wish I could post my real feelings about Kanye west without hurting my future career whatever that may be...	
neutral,So David De Gea is going to Real Madrid right? I thought the deadline was tomorrow at 6pm GMT	
neutral,tomorrow will mark the third anniversary of Niall picking marks nose and eating his boogers	
positive,Tomorrow Cacao is being delivered along with Star Wars little Golden Books and I get to finally play Armello on PS4! Is it Tuesday yet?	
positive,@AdamLMiles Triple H may be better than both if us but I'm still better than you Seth Rollins. Good work Sting. #RAW	
negative,March 15: media frenzy over the Ziam kiss  March 25: Zayn quits one direction.  Y'ALL REALLY GONNA SAY THIS ISNT WEIRD ?	
neutral,David Price's 6th K of the night his first called ends the Clevelands' 5th inning. He's seen 2 above the minimum. #bluejays trail 1-0.	
neutral,Did you know that 'Scott Walker' was Trending Topic on Sunday 30 for 3 hours in Chicago? http://t.co/gjqZJAG4PV #trndnl	
neutral,UEFA to study the case tomorrow and make a decision. Both Real Madrid and Manchester United want the deal completed. #DeGeaMissedDeadline	
neutral,I'll put money on de Gea being a Real Madrid player by the time I wake up tomorrow	
negative,If Kanye West becomes president I may move to America.... So I could flee the country.	
negative,Zayn deleted his Instagram and the last time he tweeted was the 18th of August this is hell http://t.co/FGgI7ny65N	
neutral,This is either intentional or he will go to Real Madrid tomorrow. http://t.co/EQw5dkbcAj	
neutral,David Price has a lead in the 6th so basically this game is over	
neutral,melaninhoe: Frank Ocean *says he droppin the album in July* all Frank Ocean fans: http://t.co/ojyffUZFWm	
neutral,If David De Gea isn't confirmed as a Real Madrid player tomorrow I'll get a tattoo with his name &amp; Harvey Prices name on my body	
positive,Although it's not Paul McCartney just bought So You Think You Can Dance live tix in Nov for mom and I. We'll make it a night out   :)	
positive,Its my birthday tomorrow and it would make my day if @RedMyol would finally follow me! An add on PS4 would be awesome to but I can't play):	
neutral,LaVonte David backstage at Raw with John Cena. #Huskers  https://t.co/n1ozHXKKiE	
negative,I can get my paperwork figured out at work but Man United and Real Madrid can't get it together....c'mon man.	
neutral,Shawn when he see a bee @PaperChaser___  https://t.co/F4hKwKYuVZ	
negative,Just move De Gea to Real Madrid this world is crazy. Who cares about 23:59 just move him tomorrow please.	
neutral,SCOTUS  rules against clerk in gay marriage case http://t.co/1iiBH3xR76 Kim Davis's lawyer says she will show Tues and accept her fate.	
neutral,If #Arsenal don't sign anyone on #DeadlineDay Wenger should have to give the entire Kanye West VMA speech tomorrow.	
neutral,Anyone trying to hit up Jason Aldean with me Friday night in Charlotte?	
neutral,Not that I don't love Seth Rollins he's gold on the belts. But this may be Sting's only title run sooo #StingOnRaw #RAW #RawTampa	
negative,i HATE stupid 7th graders who think saying that's gay makes them cool  imma throw your phone on the freeway little shit	
negative,@aliceslater @thenation Iran's job is EASY.. stop building Nukes.. stop executing Christians and dropping Gays off the 6th floor head first.	
positive,I'm about to see Shawn on October 16 and I'm super excited	
negative,My mom sat down and told me that no matter what if Kanye west becomes president we are leaving the country	
positive,I still believe I was the first person to listen to Sam smith in bmt...since 8th grade https://t.co/JGcLjPraCX	
negative,Nicki may have forgiven Taylor... but I still think she's corny for what she did.	
neutral,@itspetetoyou I'm going to dunkin donuts tomorrow morning do you want me to bring you something	
neutral,David Price giving up another lead in the 7th? Come on man!!! #FanDual #DraftKings	
negative,Also stfu you annoying Christians waking me up in a Sunday morning and shit!  No offense to the Christians	
neutral,Supreme Court rules against clerk in gay marriage case: The Supreme Court on Monday ruled against the Kentucky... http://t.co/irRog0fJRg	
neutral,//I know so much more about DBZ than I do Naruto.. xD Ask me a DBZ question I may be able to answer it.	
neutral,Whelp I get to go see One Direction perform tomorrow.  I saw them with Zayn and now I get to see them without him.	
negative,In a world where Kanye West is president and Miley Cyrus performs a song saying she smoke pot and love peace I may as well kill myself!	
neutral,(comment about the legitimacy of a Kanye West candidacy because it's something new that people may believe is possible Trump)	
negative,@danisnotonfire Dont come to milan tomorrow i'll literally punch you in the face im already too stressed like this thanks	
negative,I hate myself for doing this. Happy last day at Dunkin tomorrow. May I never have to make a rude bitches coffee again http://t.co/fxfDzctIn5	
neutral,I look over at Matt during SAT class and he's writing Kanye West over and over in his book	
neutral,Zayn is currently unverified on Instagram! It may be due to the glitch. https://t.co/aGKeihuPtv	
neutral,@megynkelly @realDonaldTrump @RealBenCarson GOP war on Women keeping Carly Fiorina from 1st string debate; she clearly deserves to be their	
positive,First day was pretty Gucci!! Can't wait 4 tomorrow	
neutral,Today in America: the arrogance of Kanye West will Carson take down Trump and why do presidential no-hopers bother? http://t.co/ah3bwUry9l	
neutral,Is anybody going to the Ed Sheeran concert in Houston this Thursday	
positive,Kanye west may be a conceited son of a bitch but he's still one of the best rappers of all time	
neutral,Cubs score another run off a Kris Bryant hit up the middle but Rizzo thrown out at 3rd. 5-3 #Cubs #LETSGO	
neutral,@DylanJHernandez Nope tomorrow uefa will decide as real madrid couldnt load up the document	
negative,I don't know if my eyes could handle this match what a big fucker may God give Dean Ambrose the power to beat this monster #RAW	
positive,Pumpkin spice flavor is already back at dunkin and I don't know how to feel because it's still august	
neutral,Who's gonna be the 3rd Shield member? Eric Rowen? Samoa Joe? Seth Rollins? (Impossible but I would still mark out!) #RAW	
neutral,@Flipkid17 yeah on October 10 the English version is gonna come out in America on Naruto's birthday	
neutral,Roman Reigns and Dean Ambrose may need to recruit Brock Lesnar to take out the Wyatts #RAW	
neutral,Roman Reigns and Dean Ambrose may need to recruit Brock Lesnar to take out the Wyatts #RAW	
negative,Everyone is wearing black tomorrow it's gonna look like a funeral Niall is dead pass it on	
neutral,To all the baby boomers complaining about Kanye West may I remind you of Jim Morrison?	
neutral,1 million Jews just sat up and listened when Seth Rollins' nasal voice rang out. #RAW	
negative,Last night I unfollowed anyone hating on Kanye or Nicki you may remove yourself from my life goodbye	
positive,Admit it. You may hate John Cena but you know you miss his U.S. open challenges!	
neutral,#DeadlineDay At the end of the day who lost? Real Madrid? David De Gea? @manutd ? May be De Gea who is gng 2 be on bench at MANU.	
neutral,Dean Ambrose with roman regains vs Braun strowman now on wwe monday night raw 8/31/2015	
neutral,@WBALDash And the way the Orioles are going the Red Sox (60) Mariners (61) and White Sox (61) may do likewise before too much longer.	
negative,@PlayStation should have opened up preloads on PS4 days ago so people could have actually finished downloading it by tomorrow. #slowassPSN	
neutral,Also Zac Brown Band will officially go for adds on September 21 with Beautiful Drug. You already know how much I hate this.	
positive,Andrew Luck is going to be on the September 10th cover of the Rolling Stone. That's badass.	
negative,#Jays starter David Price suffers 1st ever loss at Toronto- had been 8-0 (1 W as a Jay) with 3.54 ERA 60 K 16 BB in 73.2 IP over 11 starts	
neutral,Golam Globus-OK-here's the deal: I may not like this movie. Except it has Chuck Norris in it. :-))	
neutral,Seth Rollins may be a good superstar to date but he is no legend! He needs to put that statue behind him and focus on Sting. #RAW	
